sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
76,-12.07648677,7.67987564,3.00911759,14.62452773
77,-12.33938095,7.06804901,3.11452342,14.55740001
78,-12.62938684,6.48753004,3.19778424,14.55387515
79,-12.93922744,5.93925122,3.26289334,14.60632687
80,-13.26279867,5.42330091,3.31315806,14.70683643
81,-13.59502805,4.93915783,3.35131182,14.84760447
82,-13.93173911,4.48587288,3.37960985,15.02125736
83,-14.26952580,4.06220849,3.39991033,15.22104776
84,-14.60563896,3.66674451,3.41374260,15.44096316
85,-14.93788540,3.29795758,3.42236405,15.67576219
86,-15.26453964,2.95427987,3.42680758,15.92095946
87,-15.58426724,2.63414196,3.42792085,16.17277746
88,-15.89605904,2.33600321,3.42639886,16.42808002
89,-16.19917490,2.05837299,3.42281075,16.68429801
90,-16.49309605,1.79982456,3.41762201,16.93935436
91,-16.77748478,1.55900381,3.41121274,17.19159274
92,-17.05215055,1.33463391,3.40389272,17.43971249
93,-17.31702161,1.12551713,3.39591382,17.68271068
94,-17.57212130,0.93053449,3.38748022,17.91983157
95,-17.81754829,0.74864400,3.37875685,18.15052321
96,-18.05346026,0.57887790,3.36987635,18.37440049
97,-18.28006032,0.42033916,3.36094479,18.59121406
98,-18.49758590,0.27219770,3.35204639,18.80082420
99,-18.70629957,0.13368630,3.34324745,19.00317918
100,-18.90648157,0.00409658,3.33459955,19.19829722
101,-19.09842371,-0.11722513,3.32614221,19.38625163
102,-19.28242447,-0.23088165,3.31790511,19.56715856
103,-19.45878498,-0.33742877,3.30990988,19.74116700
104,-19.62780591,-0.43737884,3.30217161,19.90845053
105,-19.78978495,-0.53120411,3.29470008,20.06920065
106,-19.94501486,-0.61933993,3.28750083,20.22362137
107,-20.09378196,-0.70218768,3.28057591,20.37192479
108,-20.23636502,-0.78011751,3.27392468,20.51432756
109,-20.37303439,-0.85347089,3.26754432,20.65104812
110,-20.50405148,-0.92256291,3.26143031,20.78230442
111,-20.62966834,-0.98768448,3.25557686,20.90831215
112,-20.75012745,-1.04910428,3.24997716,21.02928341
113,-20.86566166,-1.10707055,3.24462371,21.14542562
114,-20.97649418,-1.16181284,3.23950849,21.25694081
115,-21.08283870,-1.21354344,3.23462314,21.36402495
116,-21.18489953,-1.26245887,3.22995912,21.46686764
