class_id,class_name,length_samples,duration_s,mag_peak,mag_energy,mag_rms,mag_mean,mag_std,mag_iqr,mag_ptp,x_std,y_std,z_std,x_ptp,y_ptp,z_ptp,x_absmean,y_absmean,z_absmean,x_energy,y_energy,z_energy,corr_xy,corr_xz,corr_yz,peak_pos_ratio
0,小型车,67,1.34,93.04299926757812,130375.0,44.1123046875,29.727371215820312,32.59108352661133,57.694576263427734,91.04299926757812,27.015832901000977,23.80518913269043,20.86194610595703,114.0,100.0,78.0,17.82089614868164,13.791045188903809,13.358208656311035,52752.0,41942.0,35681.0,0.23868459156287203,0.27760528726125394,-0.5077976916359439,0.5303030303030303
0,小型车,69,1.38,428.74468994140625,1624846.0,153.45518493652344,86.9054183959961,126.47505950927734,101.94770050048828,427.74468994140625,120.59693908691406,58.647586822509766,33.432132720947266,422.0,300.0,138.0,68.3768081665039,38.23188400268555,18.405797958374023,1291794.0,240134.0,92918.0,-0.16516292582060824,0.9172959973064471,-0.5043091205463219,0.4852941176470588
0,小型车,68,1.36,114.91300964355469,163716.0,49.06718063354492,34.22160720825195,35.163475036621094,50.570716857910156,112.67694091796875,30.652956008911133,21.645160675048828,25.874664306640625,136.0,99.0,93.0,20.617647171020508,12.470588684082031,15.20588207244873,73878.0,33130.0,56708.0,-0.1054717175744148,0.30249631687740985,-0.7603128831460886,0.3283582089552239
0,小型车,93,1.86,197.45632934570312,383890.0,64.24834442138672,36.48582458496094,52.88321304321289,26.541019439697266,195.0068359375,53.288124084472656,25.77260398864746,8.265257835388184,205.0,125.0,42.0,28.892473220825195,15.53763484954834,4.451612949371338,315233.0,61993.0,6664.0,0.09458366815925398,0.8154899912222674,-0.3201620317484795,0.4673913043478261
0,小型车,64,1.28,50.291648864746094,29707.0,21.544649124145508,15.109479904174805,15.35823917388916,18.846649169921875,49.173614501953125,13.27443790435791,11.183833122253418,10.737444877624512,56.0,46.0,34.0,9.421875,6.9375,7.296875,11756.0,8734.0,9217.0,-0.14317653801033126,0.7316928291311554,-0.5892109071713757,0.47619047619047616
0,小型车,87,1.74,354.1539306640625,1187631.0,116.83719635009766,62.442752838134766,98.75138092041016,53.351890563964844,352.421875,92.53845977783203,51.97471237182617,19.302448272705078,356.0,265.0,100.0,47.747127532958984,31.34482765197754,9.862069129943848,918052.0,235851.0,33728.0,-0.06049897894449467,0.685677384849761,-0.6892263075209172,0.5813953488372093
0,小型车,81,1.62,74.63912963867188,75275.0,30.484766006469727,21.571592330932617,21.540367126464844,30.114614486694336,73.63912963867188,27.192657470703125,8.444191932678223,10.245278358459473,121.0,44.0,60.0,16.962963104248047,6.888888835906982,6.382716178894043,59966.0,6004.0,9305.0,0.03728086518055553,0.5980270667768457,0.005443856120518035,0.325
0,小型车,99,1.98,49.25444030761719,28535.0,16.977405548095703,10.5720796585083,13.283954620361328,8.823567390441895,49.25444030761719,9.703259468078613,5.630024433135986,11.18564510345459,42.0,30.0,45.0,5.0505051612854,3.3636362552642822,7.151515007019043,10004.0,3155.0,15376.0,-0.11457822560691085,-0.7939661483834899,0.05361924337390401,0.5204081632653061
0,小型车,94,1.88,58.24302673339844,50154.5,23.098886489868164,15.967695236206055,16.691049575805664,16.27819061279297,57.12499237060547,13.069828987121582,4.468135833740234,15.471731185913086,40.0,18.0,55.0,10.329787254333496,3.3617022037506104,10.223403930664062,20107.0,2062.0,27985.5,-0.004267419990378339,-0.9485301419912296,-0.07121119722914496,0.6236559139784946
0,小型车,84,1.68,68.74227142333984,60719.0,26.885780334472656,21.234657287597656,16.490440368652344,11.005453109741211,62.07143783569336,18.919639587402344,7.50150203704834,15.94045352935791,72.0,40.0,59.0,13.654762268066406,4.1785712242126465,12.666666984558105,34059.0,5267.0,21393.0,0.2548550881840019,-0.738932386665609,-0.6627296017119098,0.5783132530120482
