speed_kmh,sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
40,25,-122.19937557,37.47614573,44.30533820,135.27790611
40,26,-109.54811981,41.08422606,51.02621332,127.64160227
40,27,-94.66528995,42.03274236,56.63667010,118.05075583
40,28,-78.92489677,40.46965538,61.15418775,107.73470665
40,29,-64.20209935,36.24961050,64.55259167,97.99480044
40,30,-51.52347198,29.70287374,64.87471406,88.00941653
40,31,-40.17206500,22.62309404,63.23877822,78.26073256
40,32,-29.85059185,15.86557533,60.26757670,69.10105003
40,33,-21.34307905,9.24555938,55.62052400,60.28805919
40,34,-15.06721584,2.67863806,49.86355966,52.15909007
40,35,-10.56522983,-3.60225701,43.46031724,44.87092056
40,36,-7.43490939,-9.33516709,36.69682638,38.58860309
40,37,-7.60924541,-14.38070340,29.34315058,33.55183649
40,38,-9.98552950,-17.99006943,21.48510654,29.74833105
40,39,-13.86444648,-20.01535284,13.33813375,27.76225923
40,40,-18.59867636,-20.42058880,5.29177635,28.12319516
40,41,-24.43095162,-19.65441575,-1.45861302,31.38940916
40,42,-30.51987217,-17.91012802,-7.08925567,36.09006551
40,43,-36.25940655,-15.23152157,-11.72813510,41.04013847
40,44,-40.57831870,-11.44258034,-15.18529866,44.81211766
40,45,-42.62189701,-8.70174281,-16.99549308,46.70324633
40,46,-43.36413471,-6.63020068,-17.81460570,47.34731161
40,47,-43.82754704,-4.46853729,-18.30059362,47.70464791
40,48,-44.43963876,0.58384577,-18.20170045,48.02628727
40,49,-43.76308358,6.05341207,-17.16528206,47.39723821
40,50,-41.45674099,10.74452330,-15.47470929,45.53649945
40,51,-37.50168843,13.51672787,-13.91595924,42.22241690
40,52,-32.37857522,15.00472243,-11.78581228,37.58216598
40,53,-27.00991317,15.83293712,-9.13367137,32.61351346
40,54,-21.90566754,16.16965492,-6.18627995,27.92106857
40,55,-17.53130618,15.31725314,-3.97036372,23.61628100
40,56,-13.78258670,14.41206258,-1.84835880,20.02707353
40,57,-10.82110090,13.60993642,0.02992834,17.38756711
40,58,-8.87927007,12.83616391,1.37261637,15.66820400
40,59,-7.51401650,10.66134809,2.07252093,13.20682134
40,60,-6.19288182,8.74395951,3.14095281,11.16576006
40,61,-4.78830831,7.67661263,4.64501302,10.17027158
40,62,-3.35641718,7.79688101,6.12050655,10.46506045
50,0,1.50586548,-4.00838293,-1.00963049,4.39933157
50,1,1.49584077,-4.82383032,-0.99394251,5.14731000
50,2,0.77343211,-6.48398719,0.45378464,6.54570146
50,3,-0.16744730,-8.35497574,2.97362432,8.86995489
50,4,-1.10027175,-10.73884971,6.31006259,12.50401459
50,5,-2.42973898,-13.47334772,10.44680272,17.22121997
50,6,-5.02145858,-16.59950158,15.04479929,22.95875617
50,7,-15.38947719,-24.44529663,20.46437918,35.40055580
50,8,-43.57225045,-41.77501751,27.29929678,66.24911095
50,9,-79.08262683,-55.56572058,29.75482248,101.12843632
50,10,-109.30685038,-53.32661082,14.52440578,122.48540045
50,11,-143.79994940,-43.90704997,-5.56794446,150.45682600
50,12,-172.76227070,-22.21776966,-6.36777845,174.30140581
50,13,-184.00513887,7.78482899,3.43003366,184.20168247
50,14,-173.28984074,35.83277366,16.19186123,177.69505604
50,15,-152.70099416,36.03519735,23.72125967,158.67837668
50,16,-139.39241877,14.67878256,23.53797406,142.12582204
50,17,-138.07685330,2.76852900,21.75310502,139.80729505
50,18,-140.12303537,9.70906992,23.85410892,142.47017089
50,19,-138.54262481,17.44213176,27.41108351,142.30128021
50,20,-133.30465815,28.26726370,34.19515586,140.49369653
50,21,-123.06059854,36.48272194,43.42652605,135.50189326
50,22,-107.50817765,41.02220230,51.67300615,126.13853062
50,23,-88.56000487,41.34274356,58.22089217,113.76189693
50,24,-69.97971513,37.48205602,63.03936702,101.37073960
50,25,-53.64893805,30.15626510,64.31802982,89.01919927
50,26,-39.36634683,21.75095731,62.48395031,76.98738503
50,27,-27.19895719,13.47770228,58.21288666,65.65189947
50,28,-17.87764315,5.26823563,51.87020559,55.11699066
50,29,-11.59912826,-2.64959730,44.19852102,45.77192811
50,30,-8.14673850,-9.71883231,35.75201474,37.93457008
50,31,-8.73131757,-15.75344430,26.50536026,32.04592074
50,32,-12.57623367,-19.27750048,16.44729529,28.28952457
50,33,-18.12476935,-20.14914809,6.43557296,27.85519758
50,34,-25.30725167,-19.30519458,-1.94044610,31.88907110
50,35,-32.68430994,-16.81795574,-8.60860065,37.75202984
50,36,-38.71125030,-12.72708110,-13.60003228,42.95928737
50,37,-41.93504093,-9.17428424,-16.41230617,45.95736005
50,38,-43.15904406,-6.45414255,-17.64622653,47.07173623
50,39,-43.97290433,-2.27519336,-18.09981132,47.60668010
50,40,-44.01831582,4.19584371,-17.48616247,47.54979611
50,41,-41.55063569,10.06116209,-15.59275459,45.50622270
50,42,-36.67936206,13.44433167,-13.63662395,41.37732673
50,43,-30.20188333,15.17086213,-10.86041514,35.50010467
50,44,-23.79445431,16.02611548,-7.22443447,29.58386193
50,45,-18.22615200,15.26444793,-4.35227943,24.16895371
50,46,-13.53309677,14.27678959,-1.64755539,19.74046270
50,47,-10.30313814,13.32082887,0.42965219,16.84588194
50,48,-8.20055177,11.31218657,1.67413448,14.07186343
50,49,-6.44544403,8.98338961,2.99439463,11.45475608
50,50,-4.65242640,7.89292488,4.82164245,10.35333620
50,51,-3.11937946,7.67650098,6.37248890,10.45312442
50,52,-2.42725967,6.77524249,7.06960952,10.08835364
