k,t,x,y,z
104,0.382608695652174,-373.51511395674,-1089.3755458233,-2328.52087218541
105,0.384782608695652,-372.719045621384,-1087.35211725986,-2328.16760735261
106,0.38695652173913,-374.401317458248,-1085.07588332676,-2328.78124365745
107,0.389130434782609,-373.891270936015,-1082.8714147959,-2324.82402983666
108,0.391304347826087,-372.284331361556,-1085.60619924663,-2329.19742470942
109,0.393478260869565,-372.391512343401,-1086.4521302667,-2330.9443250502
110,0.395652173913043,-369.620102512173,-1082.74398416104,-2325.21846621503
111,0.397826086956522,-369.193473253026,-1083.62245431057,-2325.28531447817
112,0.4,-368.122343759954,-1083.88824702275,-2326.08424439276
113,0.402173913043478,-368.18498921203,-1084.38573961456,-2327.61363706126
114,0.404347826086957,-368.347510198938,-1084.68014608286,-2327.41407480624
115,0.406521739130435,-368.189667039668,-1084.43492050759,-2327.18920624282
116,0.408695652173913,-369.0029196955,-1083.01319339571,-2328.09660188077
117,0.410869565217391,-369.468591039747,-1081.80526402922,-2326.51429470881
118,0.41304347826087,-368.612102568302,-1081.65132805356,-2326.35047485364
119,0.415217391304348,-369.231276136024,-1080.40369237481,-2327.82987539974
120,0.417391304347826,-368.885682482723,-1079.91326676278,-2329.23028300048
121,0.419565217391304,-368.164359500953,-1079.74810145976,-2329.85154783396
122,0.421739130434783,-367.985840614941,-1080.95563163166,-2329.85029410135
123,0.423913043478261,-369.133749286412,-1082.67429218523,-2328.74548775071
124,0.426086956521739,-369.985064937065,-1083.87034030856,-2328.00506329962
125,0.428260869565217,-369.964643354482,-1087.63487757567,-2325.22434564412
126,0.430434782608696,-374.850870183394,-1086.10957454443,-2332.19781933649
127,0.432608695652174,-377.990316197039,-1085.30217303689,-2336.04414605708
128,0.434782608695652,-374.209208591047,-1084.54408932961,-2329.3606518277
129,0.43695652173913,-375.08369920835,-1084.86257491371,-2329.96906253333
130,0.439130434782609,-376.294199394901,-1085.0871822779,-2330.84448634854
131,0.441304347826087,-374.318748466379,-1085.31881310355,-2329.78971549114
132,0.443478260869565,-373.564947495769,-1085.42051193467,-2329.27104840891
133,0.445652173913043,-375.10484692389,-1085.62636726028,-2330.74787087894
134,0.447826086956522,-375.901649057104,-1085.81481263227,-2331.19805461461
135,0.45,-375.249468016092,-1086.20838579183,-2330.11784587855
136,0.452173913043478,-376.216842602599,-1085.71004222491,-2330.0090992843
137,0.454347826086957,-376.960649331518,-1084.65794310314,-2332.13445451571
138,0.456521739130435,-377.731990399568,-1084.7873495721,-2333.81012345709
139,0.458695652173913,-376.785486322165,-1085.82283775554,-2332.03963337959
140,0.460869565217391,-376.411160873653,-1086.10198585786,-2332.79550861937
141,0.46304347826087,-376.440736931357,-1086.16401683318,-2331.22573616213
142,0.465217391304348,-376.060057041575,-1085.96447425046,-2329.11421654394
143,0.467391304347826,-376.97409239936,-1086.22390561041,-2330.74735520457
144,0.469565217391304,-376.865540409759,-1086.29876260653,-2334.0983982895
145,0.471739130434783,-376.264034635893,-1085.52526218878,-2333.09517457359
146,0.473913043478261,-372.972670507802,-1088.12540117175,-2327.28763514129
147,0.476086956521739,-374.527090653531,-1090.68622432679,-2332.22345650704
148,0.478260869565217,-376.469140306926,-1087.07485401211,-2334.51734926154
149,0.480434782608696,-374.230081058663,-1085.62112010226,-2328.6260971799
150,0.482608695652174,-374.836953895607,-1084.73565119094,-2326.85422100785
151,0.484782608695652,-375.324362709596,-1083.93313341884,-2328.42472122158
152,0.48695652173913,-375.049814815573,-1083.69955228327,-2325.89381029454
153,0.489130434782609,-373.491582192629,-1083.13720501776,-2325.53773716488
154,0.491304347826087,-372.329655345173,-1080.69150340775,-2326.45929901471
155,0.493478260869565,-371.524502486939,-1078.3429346152,-2327.24393471915
156,0.495652173913044,-371.96936998555,-1079.80595446025,-2321.40374060656
157,0.497826086956522,-369.881682398686,-1079.47475850607,-2321.72100123806
158,0.5,-371.841653504545,-1081.11606252618,-2325.89512045157
159,0.512468619246862,-366.895784022179,-1078.86921210783,-2316.15246921605
160,0.524937238493724,-366.037519998007,-1078.19922010712,-2315.63934322789
161,0.537405857740586,-366.423408283048,-1077.17556945984,-2319.02540926437
162,0.549874476987448,-367.735935899594,-1075.70763594142,-2323.56788378411
163,0.56234309623431,-368.033882310959,-1074.33169907873,-2323.93502353386
164,0.574811715481172,-367.201460089759,-1073.50363087014,-2322.61149753278
165,0.587280334728033,-365.996296650373,-1072.94650365044,-2321.14283645916
166,0.599748953974895,-365.101741269353,-1072.84969033751,-2320.45022269105
167,0.612217573221757,-364.704340375943,-1073.37126986408,-2321.82815885787
168,0.624686192468619,-365.151597708766,-1073.74963112045,-2323.30887809951
169,0.637154811715481,-365.324427212077,-1074.11156696926,-2324.02179682249
