t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
8.400000000000000799e-01,7.699999999999999289e+00,-2.079000000000000057e+02,-4.510000000000000142e+01,-1.159999999999999964e+01,2.130515899964137816e+02
8.600000000000000977e-01,7.719999999999999751e+00,-2.109000000000000057e+02,-4.510000000000000142e+01,-1.359999999999999964e+01,2.160966913212694465e+02
8.800000000000001155e-01,7.739999999999999325e+00,-2.169000000000000057e+02,-4.110000000000000142e+01,-1.259999999999999964e+01,2.211189272767032890e+02
9.000000000000001332e-01,7.759999999999999787e+00,-2.219000000000000057e+02,-3.610000000000000142e+01,-1.359999999999999964e+01,2.252282841918394638e+02
9.200000000000001510e-01,7.779999999999999361e+00,-2.309000000000000057e+02,-3.010000000000000142e+01,-1.559999999999999964e+01,2.333756199777517679e+02
9.399999999999999467e-01,7.799999999999998934e+00,-2.369000000000000057e+02,-2.510000000000000142e+01,-1.660000000000000142e+01,2.388036431882897261e+02
9.599999999999999645e-01,7.819999999999999396e+00,-2.449000000000000057e+02,-1.910000000000000142e+01,-1.359999999999999964e+01,2.460198772457217444e+02
9.799999999999999822e-01,7.839999999999999858e+00,-2.539000000000000057e+02,-1.309999999999999964e+01,-1.559999999999999964e+01,2.547158809340320715e+02
1.000000000000000000e+00,7.859999999999999432e+00,-2.588999999999999773e+02,-1.100000000000000089e+00,-1.660000000000000142e+01,2.594339607684390785e+02
1.020000000000000018e+00,7.879999999999999005e+00,-2.688999999999999773e+02,9.900000000000000355e+00,-1.760000000000000142e+01,2.696571526957888523e+02
1.040000000000000036e+00,7.899999999999999467e+00,-2.728999999999999773e+02,2.289999999999999858e+01,-1.860000000000000142e+01,2.744900362490412817e+02
1.060000000000000053e+00,7.919999999999999929e+00,-2.748999999999999773e+02,3.389999999999999858e+01,-2.060000000000000142e+01,2.777473312203017599e+02
1.080000000000000071e+00,7.939999999999999503e+00,-2.748999999999999773e+02,4.789999999999999858e+01,-2.160000000000000142e+01,2.798767228620486662e+02
