family,preset_name,K,wR,step,in_ch,val_acc,val_f1,test_acc,test_f1,best_epoch,train_s,build_s
medoid,D3,2,0.15,0.05,24,0.9609756097560975,0.9629843065253226,0.9317073170731708,0.9293072415046927,82,61.735875606536865,2.9562504291534424
medoid,D3,3,0.1,0.0,36,0.9365853658536586,0.9363815856443468,0.9560975609756097,0.9535553392211376,168,132.5425956249237,1.6330912113189697
medoid,D3,3,0.1,0.05,36,0.926829268292683,0.9254471544715447,0.9463414634146341,0.94769918699187,106,93.02792286872864,1.633589744567871
medoid,D3,3,0.15,0.0,36,0.9365853658536586,0.9366477850399418,0.8975609756097561,0.8914276042988915,74,72.71161365509033,2.1486828327178955
medoid,D3,3,0.15,0.05,36,0.9365853658536586,0.9366477850399418,0.8975609756097561,0.8914276042988915,74,72.79146313667297,2.184070587158203
medoid,D3,4,0.1,0.0,48,0.9609756097560975,0.9629972834973272,0.9317073170731708,0.9350217864923747,117,117.77676272392273,1.3994195461273193
medoid,D3,4,0.1,0.05,48,0.9658536585365853,0.9696476964769648,0.9170731707317074,0.922416702222567,209,179.9280755519867,1.4157683849334717
medoid,D3,4,0.15,0.0,48,0.9609756097560975,0.9582801191996594,0.9512195121951219,0.9467422185868788,142,135.80615305900574,1.932147741317749
medoid,D3,4,0.15,0.05,48,0.9609756097560975,0.9605606207864735,0.9463414634146341,0.9447109612284049,155,146.60603761672974,1.7194805145263672
dba,D5,2,0.1,0.0,24,0.9609756097560975,0.9629843065253226,0.9365853658536586,0.9293850122183004,167,114.99593257904053,3.6254353523254395
dba,D5,2,0.15,0.0,24,0.9609756097560975,0.9632112910300287,0.9560975609756097,0.9566392479061704,145,103.8469934463501,4.525988578796387
dba,D5,2,0.15,0.05,24,0.9560975609756097,0.9587826156109586,0.9560975609756097,0.9538503994190268,135,99.21204257011414,4.637649297714233
dba,D5,2,0.2,0.0,24,0.9658536585365853,0.9652053413235978,0.9609756097560975,0.9582362502608559,245,152.85498428344727,3.557807445526123
dba,D5,3,0.1,0.0,36,0.9560975609756097,0.9563756658256238,0.9512195121951219,0.9441832303874986,145,129.18848299980164,1.7029368877410889
dba,D5,3,0.15,0.0,36,0.9609756097560975,0.9580188633427552,0.9365853658536586,0.9292729902192614,234,186.9132046699524,2.244828462600708
dba,D5,3,0.15,0.05,36,0.9609756097560975,0.9580188633427552,0.9560975609756097,0.9482604392014987,192,160.51845955848694,2.3904306888580322
dba,D5,3,0.2,0.0,36,0.9658536585365853,0.9649930714085465,0.9365853658536586,0.9324907398460399,294,203.3031828403473,3.1265058517456055
dba,D5,4,0.1,0.0,48,0.9609756097560975,0.9576780552160332,0.9365853658536586,0.9252550402877201,145,153.06721830368042,1.3412256240844727
dba,D5,4,0.15,0.0,48,0.9804878048780488,0.9827113641155387,0.9414634146341463,0.9378274055693411,200,193.6594750881195,1.8022527694702148
dba,D5,4,0.15,0.05,48,0.9707317073170731,0.9716256601036739,0.9365853658536586,0.9337465626161278,157,162.6404001712799,1.8344602584838867
dba,D5,4,0.2,0.0,48,0.9609756097560975,0.9580188633427552,0.9463414634146341,0.9390208707281879,79,104.9815924167633,2.61834716796875
