k,t,x,y,z
7734,154.68,-340,-2141,-1692
7735,154.7,-341,-2142,-1693
7736,154.72,-342,-2142,-1694
7737,154.74,-342,-2142,-1694
7738,154.76,-342,-2142,-1694
7739,154.78,-341,-2142,-1693
7740,154.8,-341,-2143,-1692
7741,154.82,-341,-2144,-1692
7742,154.84,-340,-2144,-1691
7743,154.86,-340,-2144,-1690
7744,154.88,-340,-2144,-1690
7745,154.9,-340,-2144,-1690
7746,154.92,-340,-2144,-1690
7747,154.94,-340,-2143,-1690
7748,154.96,-340,-2142,-1690
7749,154.98,-340,-2142,-1689
7750,155,-340,-2142,-1688
7751,155.02,-343,-2144,-1687
7752,155.04,-341,-2145,-1686
7753,155.06,-339,-2144,-1690
7754,155.08,-341,-2143,-1692
7755,155.1,-340,-2142,-1689
7756,155.12,-339,-2143,-1688
7757,155.14,-338,-2144,-1689
7758,155.16,-338,-2143,-1690
7759,155.18,-339,-2142,-1689
7760,155.2,-339,-2141,-1688
7761,155.22,-339,-2140,-1688
7762,155.24,-340,-2140,-1688
7763,155.26,-340,-2140,-1688
7764,155.28,-339,-2140,-1687
7765,155.3,-339,-2141,-1687
7766,155.32,-339,-2142,-1688
7767,155.34,-338,-2143,-1688
7768,155.36,-338,-2144,-1688
7769,155.38,-339,-2143,-1688
7770,155.4,-340,-2143,-1687
7771,155.42,-341,-2144,-1686
7772,155.44,-342,-2144,-1686
7773,155.46,-342,-2144,-1686
7774,155.48,-341,-2143,-1686
7775,155.5,-339,-2142,-1687
7776,155.52,-338,-2142,-1688
7777,155.54,-338,-2141,-1688
7778,155.56,-339,-2140,-1687
7779,155.58,-339,-2140,-1686
7780,155.6,-338,-2140,-1687
7781,155.62,-338,-2140,-1687
7782,155.64,-338,-2141,-1687
7783,155.66,-338,-2141,-1688
7784,155.68,-340,-2143,-1685
7785,155.7,-342,-2146,-1684
7786,155.72,-341,-2146,-1686
7787,155.74,-340,-2145,-1686
7788,155.76,-340,-2144,-1686
