speed_kmh,sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
40,16,-16.75570093,-1.23227350,5.98467223,17.83503051
40,17,-14.64853557,8.53515748,11.99824969,20.76984601
40,18,-8.47511934,16.51188803,19.78691542,27.12917462
40,19,1.38613561,21.99061206,27.67806114,35.37772546
40,20,14.26706949,24.66642593,34.70014689,44.90080216
40,21,29.23855258,24.37537286,40.44803812,55.54363642
40,22,43.07828802,20.50477551,44.31704484,65.11670431
40,23,55.04384039,14.34093367,45.58681632,72.89474992
40,24,65.42823271,7.22714922,44.53713829,79.47730499
40,25,74.56886590,0.17639918,41.65535882,85.41496237
40,26,81.74859283,-6.64956353,37.02743301,89.98933225
40,27,86.29490908,-13.32972939,31.14675870,92.70713887
40,28,88.85070447,-19.62121728,24.53794293,94.24197841
40,29,89.29125886,-25.30190278,17.40193108,94.42426806
40,30,86.81477439,-30.19678510,9.73411351,92.43053527
40,31,81.57767630,-33.00677660,1.42967834,88.01368389
40,32,75.01686134,-33.98951819,-6.84782513,82.64205673
40,33,67.43545689,-33.50503091,-14.43764472,76.67185616
40,34,59.01073024,-31.84293218,-20.85275958,70.22162200
40,35,50.75097111,-28.88829098,-25.89173616,63.87938967
40,36,43.90558478,-25.07053698,-29.45261589,58.51229599
40,37,39.23430199,-21.69227290,-31.51662340,54.80130206
40,38,36.33607718,-18.91736000,-32.36562594,52.20833992
40,39,33.84579079,-15.92835733,-32.59005356,49.61211255
40,40,31.23688670,-10.51604781,-32.07376657,45.98974728
40,41,30.22631730,-4.70593239,-30.65165682,43.30473558
40,42,31.10159790,0.14611858,-28.68530823,42.31049103
40,43,33.62351155,3.30546188,-26.49643635,42.93632199
40,44,37.33942855,5.05532304,-23.75395108,44.54255726
40,45,41.00987701,5.93673662,-20.53162794,46.24502785
40,46,44.14098162,5.97618236,-17.45620352,47.84203230
40,47,46.59681912,5.43014650,-14.74432595,49.17463971
40,48,48.44045273,4.84948668,-12.24742817,50.19954660
40,49,48.80974227,4.07211466,-10.44644990,50.08094821
40,50,48.48274036,2.53911066,-9.11256732,49.39698451
40,51,47.96125010,0.87631092,-7.73135276,48.58830361
40,52,47.53176599,-0.13220338,-5.94726757,47.90257037
40,53,47.13200090,-0.05877391,-4.13022201,47.31265896
40,54,46.08180461,-0.24398963,-2.92634601,46.17527204
40,55,44.40338106,-0.67611462,-2.30026746,44.46806282
40,56,42.36227024,-1.21627586,-2.06912392,42.43020787
40,57,40.38130875,-1.75977350,-1.97424317,40.46782099
40,58,38.44392663,-2.15805879,-2.41080463,38.57984826
40,59,37.06418445,-2.11910509,-2.88869214,37.23692949
