"X","Y","Z"
"-436","-3104","541"
"-436","-3104","542"
"-436","-3104","541"
"-436","-3105","540"
"-436","-3106","540"
"-436","-3107","540"
"-436","-3108","538"
"-434","-3106","536"
"-434","-3102","538"
"-436","-3100","540"
"-436","-3100","542"
"-437","-3102","544"
"-437","-3101","542"
"-435","-3100","540"
"-434","-3102","540"
"-434","-3102","540"
"-434","-3102","541"
"-434","-3102","542"
"-434","-3103","541"
"-434","-3104","540"
"-434","-3104","540"
"-434","-3104","540"
"-435","-3104","539"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","539"
"-437","-3104","540"
"-437","-3104","540"
"-436","-3104","541"
"-436","-3104","542"
"-436","-3104","543"
"-436","-3104","543"
"-436","-3104","542"
"-436","-3104","542"
"-436","-3104","542"
"-436","-3104","542"
"-436","-3104","542"
"-436","-3104","542"
"-436","-3104","542"
"-436","-3104","542"
"-436","-3105","542"
"-436","-3105","543"
"-435","-3104","544"
"-434","-3104","544"
"-434","-3104","544"
"-434","-3104","543"
"-435","-3104","541"
"-436","-3105","539"
"-436","-3106","538"
"-436","-3106","538"
"-436","-3106","538"
"-436","-3106","538"
"-436","-3106","538"
"-436","-3106","538"
"-436","-3106","538"
"-436","-3106","540"
"-436","-3105","542"
"-436","-3104","542"
"-436","-3104","543"
"-436","-3104","544"
"-436","-3104","544"
"-436","-3104","544"
"-435","-3105","544"
"-434","-3106","545"
"-434","-3106","545"
"-434","-3106","544"
"-434","-3106","544"
"-434","-3106","544"
"-434","-3106","544"
"-434","-3106","543"
"-434","-3106","542"
"-434","-3106","542"
"-436","-3103","541"
"-435","-3102","544"
"-435","-3101","546"
"-433","-3103","540"
"-430","-3106","540"
"-434","-3104","544"
"-436","-3104","544"
"-435","-3104","543"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3105","542"
"-435","-3106","542"
"-436","-3106","542"
"-436","-3106","542"
"-436","-3106","542"
"-435","-3106","542"
"-435","-3106","542"
"-436","-3105","542"
"-435","-3104","542"
"-434","-3104","542"
"-435","-3104","542"
"-435","-3104","542"
"-434","-3104","543"
"-434","-3104","544"
"-434","-3104","544"
"-434","-3104","543"
"-434","-3104","542"
"-434","-3104","543"
"-434","-3104","544"
"-434","-3104","543"
"-434","-3105","542"
"-435","-3106","542"
"-436","-3105","542"
"-435","-3104","542"
"-434","-3104","542"
"-434","-3104","541"
"-434","-3104","541"
"-434","-3103","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-438","-3105","547"
"-439","-3106","546"
"-436","-3106","544"
"-434","-3108","550"
"-432","-3108","552"
"-435","-3104","548"
"-438","-3102","542"
"-438","-3104","538"
"-437","-3104","540"
"-436","-3104","543"
"-436","-3104","542"
"-435","-3104","542"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3105","542"
"-434","-3106","543"
"-434","-3106","544"
"-434","-3106","544"
"-433","-3105","545"
"-432","-3104","546"
"-433","-3104","545"
"-434","-3105","544"
"-433","-3105","544"
"-432","-3104","544"
"-432","-3104","544"
"-432","-3104","544"
"-432","-3104","544"
"-432","-3104","544"
"-432","-3104","544"
"-432","-3104","545"
"-432","-3104","546"
"-432","-3104","546"
"-433","-3103","547"
"-434","-3103","547"
"-434","-3104","546"
"-434","-3104","546"
"-434","-3105","546"
"-434","-3106","545"
"-434","-3106","544"
"-434","-3106","544"
"-435","-3106","544"
"-435","-3106","544"
"-434","-3106","544"
"-434","-3106","544"
"-434","-3106","545"
"-434","-3105","546"
"-434","-3104","547"
"-435","-3105","547"
"-436","-3105","546"
"-436","-3104","546"
"-436","-3104","546"
"-436","-3104","546"
"-436","-3104","546"
"-436","-3104","545"
"-436","-3104","543"
"-436","-3104","542"
"-435","-3104","543"
"-434","-3104","544"
"-435","-3105","544"
"-436","-3105","544"
"-436","-3104","544"
"-436","-3104","545"
"-435","-3104","547"
"-433","-3104","544"
"-432","-3104","540"
"-432","-3104","546"
"-435","-3104","550"
"-433","-3107","548"
"-430","-3107","544"
"-432","-3102","542"
"-435","-3104","546"
"-435","-3106","546"
"-432","-3104","544"
"-432","-3105","544"
"-432","-3106","544"
"-432","-3106","545"
"-432","-3106","546"
"-432","-3106","547"
"-432","-3106","548"
"-432","-3106","548"
"-432","-3106","548"
"-432","-3107","548"
"-432","-3107","548"
"-432","-3106","548"
"-432","-3107","547"
"-433","-3108","545"
"-434","-3108","544"
"-434","-3108","544"
"-434","-3108","544"
"-434","-3108","544"
"-434","-3108","544"
"-434","-3108","545"
"-433","-3108","546"
"-432","-3109","547"
"-432","-3110","548"
"-432","-3110","548"
"-431","-3110","549"
"-430","-3110","549"
"-430","-3111","549"
"-431","-3112","550"
"-432","-3112","550"
"-432","-3112","550"
"-434","-3108","551"
"-437","-3104","552"
"-438","-3107","550"
"-435","-3110","548"
"-437","-3109","546"
"-440","-3112","548"
"-437","-3108","550"
"-439","-3102","550"
"-442","-3104","552"
"-433","-3104","548"
"-429","-3106","545"
"-434","-3108","546"
"-434","-3107","546"
"-434","-3106","546"
"-434","-3106","546"
"-434","-3106","545"
"-434","-3106","544"
"-434","-3107","545"
"-435","-3108","546"
"-436","-3108","547"
"-436","-3107","549"
"-436","-3106","551"
"-436","-3106","552"
"-436","-3106","552"
"-435","-3106","553"
"-434","-3107","554"
"-434","-3108","553"
"-434","-3108","552"
"-434","-3108","552"
"-434","-3108","551"
"-433","-3108","549"
"-432","-3109","548"
"-433","-3109","547"
"-435","-3108","546"
"-436","-3108","547"
"-435","-3108","548"
"-434","-3108","549"
"-434","-3108","550"
"-434","-3108","550"
"-434","-3108","550"
"-434","-3108","550"
"-434","-3108","551"
"-434","-3108","552"
"-434","-3108","552"
"-434","-3108","552"
"-434","-3108","552"
"-434","-3107","552"
"-434","-3106","552"
"-434","-3106","552"
"-434","-3107","552"
"-434","-3108","551"
"-434","-3108","550"
"-434","-3108","550"
"-433","-3108","550"
"-432","-3108","550"
"-432","-3108","550"
"-432","-3108","550"
"-432","-3108","550"
"-432","-3107","550"
"-433","-3106","550"
"-434","-3106","550"
"-434","-3105","550"
"-434","-3104","550"
"-433","-3104","551"
"-433","-3104","552"
"-434","-3103","552"
"-434","-3102","551"
"-434","-3103","551"
"-434","-3103","551"
"-434","-3102","550"
"-434","-3102","551"
"-434","-3102","552"
"-435","-3102","551"
"-435","-3103","551"
"-433","-3107","546"
"-437","-3109","544"
"-440","-3109","550"
"-438","-3110","550"
"-435","-3105","548"
"-434","-3104","552"
"-434","-3109","554"
"-433","-3109","550"
"-434","-3107","549"
"-434","-3106","550"
"-434","-3106","550"
"-434","-3106","551"
"-434","-3105","552"
"-434","-3105","553"
"-434","-3106","554"
"-434","-3105","554"
"-434","-3104","554"
"-434","-3104","554"
"-434","-3104","554"
"-434","-3105","553"
"-434","-3106","552"
"-434","-3105","552"
"-434","-3105","552"
"-434","-3106","551"
"-435","-3106","550"
