t,Bx,By,Bz
234.52,-822.072934494264,-2476.79367012507,-2609.64765032801
234.54,-816.51442008208,-2476.69337275936,-2606.59324633443
234.56,-792.172293041882,-2480.63480501717,-2602.77269183446
234.58,-757.887121624178,-2483.86963630242,-2597.62459618742
234.6,-737.268214122204,-2486.44310737994,-2593.11509850947
234.62,-729.710162552442,-2488.24099434843,-2590.97597487004
234.64,-722.459104126134,-2489.47827828237,-2589.19080782066
234.66,-712.965518587343,-2490.5066375951,-2586.76664574941
234.68,-701.773151382232,-2491.55648419296,-2583.67774973603
234.7,-691.343754005702,-2492.77824638931,-2580.72849420488
234.72,-680.793806906382,-2493.79070322691,-2577.38046544881
234.74,-670.120919652779,-2494.39105949437,-2573.99626338019
234.76,-659.137591512373,-2494.36419369001,-2570.95059537923
234.78,-648.589346838433,-2493.67558643878,-2567.41166920585
234.8,-640.708836711585,-2492.08982490563,-2564.12243582184
234.82,-634.631245605586,-2489.58681724066,-2561.82739445497
234.84,-628.790800200204,-2486.18460058871,-2559.99232134367
234.86,-622.534468899028,-2482.27124199544,-2558.40911735252
234.88,-617.028114608948,-2478.1991834768,-2557.24707176528
234.9,-612.249314967997,-2474.18206249,-2555.89341407479
234.92,-607.102995652942,-2470.45262387755,-2553.55911347036
234.94,-602.69652049452,-2466.77664992435,-2550.71703267176
234.96,-599.350731087368,-2463.14790535165,-2548.76266003358
234.98,-596.468849277805,-2459.31024206267,-2547.28782868184
235,-594.559682548279,-2455.2991658417,-2545.46877203941
235.02,-592.864337875321,-2451.03936970126,-2543.42595667437
235.04,-590.760268737207,-2446.49203087324,-2542.60231447676
235.06,-588.774874149198,-2441.92255167169,-2543.60178661936
235.08,-587.16654024884,-2437.37624061842,-2544.14401709422
235.1,-586.525475669663,-2433.08720373572,-2544.54082719207
235.12,-587.835015099665,-2428.88403243911,-2545.47998187368
235.14,-589.977375891626,-2424.72176611665,-2545.97488375264
235.16,-591.864637825021,-2420.76970943209,-2546.70921965754
235.18,-594.182357662957,-2417.09926956849,-2548.07865914433
235.2,-596.42136872388,-2413.59855128622,-2549.03654893353
235.22,-597.653320878327,-2409.6179561278,-2550.46056544147
235.24,-599.67656512031,-2405.88590234789,-2552.47040167313
235.26,-602.843295454239,-2402.57021288901,-2554.54178278565
235.28,-606.167858305465,-2399.61876672772,-2557.11750959256
235.3,-610.889896893395,-2398.43692688426,-2560.04384103032
235.32,-616.953471740931,-2398.17435778084,-2563.3229811152
235.34,-621.960409746401,-2397.61225908553,-2566.10351493632
235.36,-626.07716157394,-2397.19381387718,-2568.10027088118
235.38,-629.323815407472,-2395.97542185766,-2569.96418461542
235.4,-631.042386789737,-2393.85658635044,-2571.30579734115
235.42,-631.8196403636,-2392.35669464281,-2572.14848991686
235.44,-627.337767330475,-2394.97247261055,-2572.09114636469
235.46,-620.825022056444,-2398.69985027837,-2570.37801599278
235.48,-614.976104344877,-2401.05479171346,-2568.42515932547
235.5,-609.241905800565,-2404.41405549889,-2566.85064971582
235.52,-603.750867656974,-2409.09140092001,-2565.49176154423
235.54,-598.865272741328,-2413.75906591268,-2564.45907929159
235.56,-599.464529294603,-2415.27269706601,-2564.19073549402
235.58,-602.58652861395,-2415.32609137803,-2564.54400916953
235.6,-604.582513243939,-2415.00877292112,-2564.92748225057
235.62,-605.768525811206,-2414.74530048322,-2565.46814112833
235.64,-606.532704922009,-2415.19097141568,-2566.15527537785
235.66,-607.067699161342,-2415.53935423033,-2567.21935556117
235.68,-607.758992954844,-2415.81035223072,-2568.47387880741
235.7,-608.25897842296,-2416.12769422005,-2569.8730336429
235.72,-609.040788168203,-2416.50368620459,-2571.35391584052
235.74,-610.576830396688,-2416.90636420043,-2572.71044240735
235.76,-611.985456335943,-2417.1743282611,-2574.13647618908
235.78,-613.092157754312,-2417.3507962551,-2575.5490315071
235.8,-613.869300250753,-2417.50869758496,-2576.84193144088
235.82,-614.572452481335,-2417.65242343773,-2578.10846719145
235.84,-615.222535154063,-2417.90150384368,-2579.41590118878
235.86,-621.183687303268,-2427.11985280147,-2573.44625083669
235.88,-626.733234575285,-2436.33182485014,-2566.87212683078
235.9,-632.209268457337,-2445.45638146732,-2560.07148350386
235.92,-637.81248618619,-2454.38758935537,-2553.00285907761
235.94,-642.883375007935,-2462.89462264475,-2545.57405741064
235.96,-647.729119600707,-2471.2188461688,-2538.06353712688
235.98,-647.754919705527,-2471.21907515855,-2537.71648654853
236,-647.78116451708,-2471.2200765717,-2537.37027413136
236.02,-647.81223507711,-2471.21981168844,-2537.37054878703
236.04,-647.843678007277,-2471.22043072902,-2537.3300169976
236.06,-647.875787671996,-2471.22137772796,-2537.23248089758
236.08,-647.90704767401,-2471.22230438197,-2537.17405387926
236.1,-647.837536076266,-2471.22292801773,-2537.17101179414
236.12,-647.642811906301,-2471.2243595707,-2537.16847052537
236.14,-647.511283983037,-2471.22584853907,-2537.16457574401
236.16,-647.504064200738,-2471.22853972479,-2537.15960721771
236.18,-647.380762728464,-2471.23152050202,-2537.15480093881
236.2,-647.258925420946,-2471.23372296764,-2537.14905098251
236.22,-647.291053732178,-2471.2360428592,-2537.14163176644
236.24,-647.323656562584,-2471.23790216387,-2537.1333770691
236.26,-647.356648117579,-2471.23955160002,-2537.12637515054
236.28,-647.388853445246,-2471.24098420348,-2537.11697191628
236.3,-647.338791009523,-2471.24182649037,-2537.05119445698
236.32,-647.285936512265,-2471.24315757455,-2536.91708968547
236.34,-647.311375066968,-2471.24442816907,-2536.84022140573
236.36,-647.334388616166,-2471.24534675647,-2536.82824444069
236.38,-647.361552502065,-2471.24620678552,-2536.66865723425
236.4,-647.389246283822,-2471.04737188478,-2536.38846224414
236.42,-647.416902417814,-2470.69541538049,-2536.16097684106
236.44,-647.444949908588,-2470.39658170582,-2536.05743722251
236.46,-647.474155451321,-2470.250677737,-2536.04869906199
236.48,-647.504933029432,-2470.25054196669,-2536.0399545344
236.5,-647.534979737384,-2470.25110282595,-2536.03045561871
236.52,-653.771975575387,-2465.71403140868,-2537.48102892389
236.54,-660.260790800265,-2461.15187281213,-2538.81587469345
236.56,-666.975638901893,-2456.57206031819,-2540.03378977854
236.58,-674.277570437257,-2451.96162690572,-2540.88890224288
236.6,-681.802801678263,-2447.37778250143,-2541.47918722117
236.62,-689.429649479896,-2442.85143482298,-2541.78931185566
236.64,-690.004190506043,-2442.96268207098,-2540.96775372132
236.66,-690.125372538915,-2443.24514976398,-2540.13559584304
236.68,-689.602824128196,-2443.80293198566,-2539.33196626846
236.7,-688.608214422268,-2444.58953777985,-2538.57912170337
236.72,-687.143714010498,-2445.60405741392,-2537.87339874958
236.74,-685.207462319018,-2446.84604557734,-2537.21710107905
236.76,-682.751952458099,-2448.34605560925,-2536.56996712378
236.78,-679.983468936471,-2450.0047737598,-2535.89440884264
236.8,-677.145549132336,-2451.70334908138,-2535.16440439181
236.82,-674.239963400496,-2453.44180607164,-2534.37996659534
236.84,-671.263996086223,-2455.22178468961,-2533.53925320495
