t,Bx,By,Bz
232.42,-887,-2481,-2624
232.44,-886,-2480,-2624
232.46,-887,-2479,-2624
232.48,-888,-2479,-2624
232.5,-888,-2480,-2623
232.52,-889,-2481,-2622
232.54,-890,-2482,-2623
232.56,-890,-2482,-2624
232.58,-890,-2483,-2624
232.6,-890,-2484,-2623
232.62,-890,-2484,-2622
232.64,-890,-2484,-2622
232.66,-889,-2484,-2622
232.68,-888,-2483,-2622
232.7,-888,-2483,-2623
232.72,-887,-2484,-2624
232.74,-887,-2484,-2624
232.76,-888,-2483,-2624
232.78,-888,-2483,-2622
232.8,-889,-2483,-2620
232.82,-890,-2483,-2621
232.84,-890,-2484,-2621
232.86,-890,-2484,-2620
232.88,-890,-2484,-2619
232.9,-889,-2484,-2620
232.92,-888,-2483,-2621
232.94,-888,-2483,-2620
232.96,-888,-2484,-2621
232.98,-888,-2484,-2621
233,-888,-2483,-2619
233.02,-889,-2482,-2618
233.04,-889,-2482,-2617
233.06,-888,-2482,-2617
233.08,-888,-2483,-2619
233.1,-888,-2484,-2621
233.12,-888,-2484,-2621
233.14,-888,-2485,-2620
233.16,-888,-2486,-2619
233.18,-888,-2486,-2619
233.2,-887,-2486,-2619
233.22,-886,-2486,-2619
233.24,-887,-2487,-2620
233.26,-887,-2487,-2620
233.28,-886,-2487,-2620
233.3,-885,-2488,-2619
233.32,-884,-2487,-2619
233.34,-884,-2487,-2620
233.36,-885,-2488,-2619
233.38,-885,-2488,-2618
233.4,-884,-2489,-2618
233.42,-884,-2489,-2618
233.44,-884,-2489,-2618
233.46,-883,-2490,-2617
233.48,-882,-2490,-2615
233.5,-882,-2491,-2614
233.52,-881,-2492,-2614
233.54,-880,-2492,-2616
233.56,-880,-2492,-2617
233.58,-880,-2492,-2616
233.6,-880,-2492,-2616
233.62,-881,-2493,-2616
233.64,-881,-2494,-2616
233.66,-880,-2495,-2615
233.68,-880,-2496,-2615
233.7,-880,-2497,-2616
233.72,-880,-2498,-2617
233.74,-880,-2498,-2617
233.76,-879,-2498,-2616
233.78,-878,-2499,-2616
233.8,-878,-2500,-2616
233.82,-877,-2500,-2616
233.84,-875,-2500,-2616
233.86,-874,-2500,-2616
233.88,-874,-2501,-2616
233.9,-873,-2502,-2615
233.92,-869,-2506,-2612
233.94,-864,-2511,-2610
233.96,-866,-2511,-2611
233.98,-869,-2510,-2613
234,-868,-2510,-2614
234.02,-867,-2511,-2613
234.04,-866,-2513,-2613
234.06,-865,-2515,-2614
234.08,-863,-2516,-2613
234.1,-861,-2517,-2612
234.12,-859,-2519,-2612
234.14,-858,-2521,-2613
234.16,-857,-2523,-2614
234.18,-855,-2524,-2613
234.2,-853,-2526,-2612
234.22,-850,-2528,-2612
234.24,-846,-2529,-2611
234.26,-843,-2530,-2610
234.28,-840,-2532,-2609
234.3,-835,-2538,-2606
234.32,-828,-2544,-2610
