u,x_norm,y_norm,z_norm
0.13389121338912133,0.637583892617447,0.5117647058823275,0.5781250000000026
0.13807531380753138,0.6510067114093978,0.5235294117646697,0.5868055555555589
0.1422594142259414,0.6241610738255005,0.5235294117646697,0.5885416666666663
0.14644351464435146,0.610738255033558,0.5058823529411858,0.5902777777777801
0.15062761506276148,0.5906040268456362,0.482352941176472,0.5746527777777813
0.15481171548117154,0.5973154362416073,0.4882352941176431,0.5781250000000048
0.1589958158995816,0.5973154362416073,0.482352941176472,0.5763888888888908
0.1631799163179916,0.5838926174496608,0.47647058823530086,0.5711805555555579
0.16736401673640167,0.5704697986577142,0.476470588235242,0.5694444444444441
0.1715481171548117,0.5570469798657677,0.45882352941175814,0.5694444444444463
0.17573221757322174,0.5570469798657718,0.4647058823529587,0.5746527777777813
0.1799163179916318,0.5704697986577184,0.46470588235289984,0.5815972222222238
0.18410041841004182,0.5704697986577184,0.4705882352940709,0.5850694444444451
0.18828451882845187,0.610738255033558,0.4882352941175842,0.5885416666666684
0.1924686192468619,0.6644295302013443,0.5411764705882125,0.6197916666666682
0.19665271966527195,0.6979865771812045,0.5705882352940974,0.6336805555555574
0.20083682008368198,0.6979865771812086,0.5705882352940974,0.6302083333333361
0.20502092050209203,0.6778523489932909,0.5470588235293835,0.6215277777777799
0.20920502092050208,0.6912751677852332,0.5647058823529263,0.6336805555555574
0.2133891213389121,0.7046979865771799,0.5705882352940974,0.6388888888888925
0.21757322175732216,0.7181208053691264,0.5882352941176401,0.6388888888888925
0.22175732217573219,0.7046979865771756,0.5764705882352685,0.6354166666666691
0.22594142259414224,0.6510067114093894,0.541176470588183,0.6145833333333353
0.2301255230125523,0.5838926174496608,0.5529411764705546,0.5868055555555589
0.23430962343096232,0.5570469798657677,0.5352941176470414,0.5798611111111122
0.23849372384937237,0.5570469798657718,0.5294117647058408,0.5729166666666675
0.2426778242677824,0.5369127516778499,0.5176470588234986,0.5659722222222229
0.24686192468619245,0.5167785234899279,0.4999999999999853,0.5677083333333346
0.2510460251046025,0.5369127516778499,0.5117647058823275,0.5781250000000004
0.25523012552301255,0.5234899328859033,0.5117647058823569,0.5781250000000026
0.25941422594142255,0.5302013422818788,0.5058823529411858,0.5798611111111122
0.2635983263598326,0.5302013422818788,0.5117647058823275,0.5937500000000013
0.26778242677824265,0.489932885906039,0.5647058823529263,0.5781250000000026
0.2719665271966527,0.5302013422818788,0.6117647058823246,0.595486111111113
0.27615062761506276,0.610738255033558,0.6235294117646962,0.6284722222222244
0.28033472803347276,0.657718120805369,0.6588235294117523,0.6493055555555584
0.2845188284518828,0.657718120805369,0.6764705882352655,0.6666666666666689
0.28870292887029286,0.6778523489932909,0.6999999999999794,0.6753472222222252
0.2928870292887029,0.7181208053691264,0.7352941176470355,0.6979166666666685
0.29707112970711297,0.7449664429530153,0.7705882352940915,0.7152777777777769
0.30125523012552297,0.765100671140933,0.7882352941176048,0.7256944444444428
